Time[s]	Rotor azimuth angle[deg]	Hub wind speed magnitude[m/s]	ACTTORQUE1[Nm]	PITRAT1[deg/s]	PITFRIC1[kNm]	PITCH1[deg]	Blade root 1 Fx[KN]	Blade root 1 Fy[KN]	Blade root 1 Fz[KN]	Blade root 1 Mx[kNm]	Blade root 1 My[kNm]	Blade root 1 Mz[kNm]	
END_OF_HEADER
50.00	292.7	21.0	-61.0	-0.5	168.3	19.7	249.5	156.6	566.2	-2869.4	9902.2	-51.2	
50.05	295.5	21.0	-56.3	-0.5	161.9	19.7	241.8	177.1	556.1	-3141.1	9296.3	-39.9	
50.10	298.2	21.2	-50.0	-0.4	154.8	19.7	233.9	189.1	553.9	-3406.2	8632.1	-26.1	
50.15	300.9	21.1	-47.1	-0.3	149.3	19.7	222.8	189.1	545.1	-3683.1	8090.7	-18.7	
50.20	303.6	21.1	-50.0	-0.4	143.8	19.7	209.8	193.1	530.7	-3795.9	7614.3	-24.8	
50.25	306.4	21.3	-54.8	-0.5	136.5	19.6	195.2	185.8	522.4	-3809.8	7038.7	-37.4	
50.30	309.1	21.9	-58.5	-0.7	126.9	19.6	179.5	170.5	519.6	-3651.1	6372.8	-48.7	
50.35	311.8	22.1	-57.3	-0.8	117.3	19.6	162.3	164.6	511.2	-3239.0	5832.4	-58.6	
50.40	314.5	21.7	-49.7	-0.8	111.2	19.5	147.5	145.1	491.5	-2896.9	5591.5	-58.8	
50.45	317.3	21.2	-49.1	-0.8	109.8	19.5	151.7	120.6	474.9	-2557.0	5694.5	-69.2	
50.50	320.0	21.7	-61.9	-0.7	112.9	19.5	182.5	107.0	472.3	-1999.8	6106.3	-106.3	
50.55	322.7	22.7	-73.9	-0.7	117.8	19.4	214.2	92.9	469.8	-1565.2	6551.6	-132.7	
50.60	325.4	23.3	-77.7	-0.9	118.0	19.4	217.5	87.2	451.9	-1451.4	6605.9	-132.7	
50.65	328.0	23.4	-68.8	-0.9	110.9	19.3	196.7	92.5	428.4	-1421.8	6129.4	-114.3	
50.70	330.7	23.4	-51.8	-0.9	93.1	19.3	156.9	82.6	417.7	-1264.6	4912.0	-92.3	
50.75	333.4	23.6	-37.3	-0.8	71.8	19.2	113.1	73.5	413.7	-1090.8	3417.4	-69.3	
50.80	336.1	23.6	-27.6	-0.7	53.0	19.2	77.2	64.8	404.6	-696.1	2159.1	-53.6	
50.85	338.7	23.6	-21.4	-0.6	40.6	19.2	56.3	42.3	387.0	-279.9	1402.6	-48.2	
50.90	341.4	24.0	-21.3	-0.5	34.7	19.2	51.9	19.5	377.7	92.3	1034.9	-49.0	
50.95	344.0	23.8	-26.1	-0.5	32.7	19.1	53.6	14.7	383.4	394.8	785.4	-53.8	
51.00	346.6	23.5	-27.2	-0.7	33.3	19.1	59.0	15.9	376.7	346.6	843.9	-40.8	
51.05	349.3	23.2	-26.8	-0.9	34.7	19.1	58.6	30.2	360.9	180.0	1003.4	-22.2	
51.10	351.9	22.9	-34.3	-1.2	38.3	19.0	63.5	30.0	355.6	353.5	1235.1	-42.3	
51.15	354.5	22.7	-41.4	-1.4	44.3	18.9	77.1	3.5	359.0	662.2	1580.2	-72.0	
51.20	357.2	22.8	-49.4	-1.6	49.9	18.9	89.2	-19.8	357.6	991.1	1845.9	-103.5	
51.25	359.8	22.7	-50.5	-1.6	49.0	18.8	83.1	-33.2	350.8	1125.6	1698.2	-117.1	
51.30	2.4	22.5	-47.1	-1.6	41.8	18.7	56.8	-49.7	345.2	1098.1	1078.3	-119.1	
51.35	5.1	22.1	-44.3	-1.6	35.9	18.6	35.8	-54.0	346.5	1027.0	466.2	-120.0	
51.40	7.7	22.5	-43.0	-1.5	34.3	18.5	28.9	-61.2	351.4	986.4	118.0	-127.2	
51.45	10.3	22.5	-42.3	-1.3	33.6	18.5	35.9	-75.1	352.0	881.0	149.6	-130.7	
51.50	12.9	22.2	-43.5	-1.2	34.7	18.4	53.5	-67.9	350.5	809.2	530.1	-128.3	
51.55	15.5	22.2	-48.9	-1.2	42.1	18.3	77.0	-66.6	352.9	1072.7	1020.1	-133.5	
51.60	18.1	22.0	-54.5	-1.2	50.4	18.3	86.3	-92.3	361.7	1634.3	1200.1	-136.4	
51.65	20.6	21.8	-59.5	-1.2	57.7	18.2	85.1	-112.1	371.0	2294.4	1068.8	-138.5	
51.70	23.2	21.5	-54.5	-1.3	61.4	18.2	75.9	-117.1	377.2	2680.8	851.8	-114.2	
51.75	25.8	21.4	-54.0	-1.5	64.5	18.1	70.9	-125.0	378.1	2924.2	811.1	-100.3	
51.80	28.4	21.4	-59.8	-1.7	70.8	18.0	73.6	-137.3	382.3	3345.5	923.8	-107.4	
51.85	31.0	21.8	-60.9	-1.8	75.4	17.9	80.2	-155.3	393.3	3593.1	1103.7	-119.3	
51.90	33.6	22.0	-52.1	-1.8	74.9	17.8	91.7	-158.9	400.3	3410.7	1394.1	-107.4	
51.95	36.2	22.3	-49.5	-1.7	75.6	17.8	101.1	-155.0	407.2	3367.2	1601.5	-108.1	
52.00	38.8	22.1	-53.5	-1.5	80.7	17.7	96.8	-183.2	419.0	3773.0	1442.6	-123.3	
52.05	41.4	22.3	-57.3	-1.3	86.2	17.6	83.9	-216.9	433.5	4253.2	1005.8	-131.3	
52.10	44.1	22.7	-55.4	-1.2	88.7	17.5	70.2	-220.7	447.9	4528.5	519.9	-120.9	
52.15	46.7	22.2	-53.3	-1.0	92.5	17.5	56.9	-229.6	459.2	4815.7	156.9	-108.9	
52.20	49.3	22.0	-58.3	-1.0	100.1	17.4	48.2	-255.8	462.5	5319.2	57.7	-110.4	
52.25	51.9	22.0	-57.8	-0.9	104.1	17.4	49.3	-261.2	462.9	5606.5	214.5	-101.4	
52.30	54.5	21.9	-45.1	-0.8	101.4	17.3	54.9	-244.3	473.0	5432.6	335.8	-67.1	
52.35	57.1	21.8	-41.2	-0.7	103.6	17.3	63.6	-234.1	496.8	5601.4	314.2	-53.5	
52.40	59.7	21.6	-43.0	-0.6	110.1	17.3	72.3	-249.6	516.1	6031.1	340.6	-52.4	
52.45	62.3	21.4	-43.6	-0.4	114.2	17.3	78.1	-262.3	523.6	6286.0	514.9	-53.6	
52.50	65.0	21.4	-50.7	-0.3	117.3	17.2	85.6	-255.3	534.4	6503.9	732.1	-70.3	
52.55	67.6	21.5	-56.8	-0.2	119.9	17.2	92.8	-262.6	551.6	6649.4	848.7	-85.0	
52.60	70.3	21.4	-65.1	-0.2	123.8	17.2	97.5	-280.9	566.3	6868.2	927.3	-100.1	
52.65	72.9	21.2	-67.3	-0.2	125.1	17.2	94.4	-292.3	570.6	6914.7	1073.0	-104.5	
52.70	75.6	20.9	-63.6	-0.2	122.2	17.2	90.2	-301.7	570.4	6620.0	1318.0	-100.3	
52.75	78.2	20.6	-65.5	-0.2	122.4	17.2	97.1	-302.0	586.4	6564.8	1553.1	-109.1	
52.80	80.9	20.6	-67.3	-0.0	126.0	17.2	112.3	-304.2	607.8	6728.3	1869.6	-119.6	
52.85	83.5	20.7	8.2	0.1	-129.8	17.2	131.5	-314.3	620.6	6804.0	2404.5	-121.5	
52.90	86.2	20.8	7.3	0.3	-135.3	17.2	154.9	-316.9	630.7	6930.2	3095.6	-129.2	
52.95	88.8	21.2	5.7	0.4	-141.0	17.2	175.1	-316.8	644.8	7097.0	3645.7	-142.7	
53.00	91.4	21.5	5.6	0.6	-143.7	17.2	181.9	-321.5	659.5	7196.5	3835.4	-140.4	
53.05	94.0	21.6	7.3	0.5	-144.5	17.3	176.0	-320.7	673.4	7308.1	3750.2	-118.3	
53.10	96.7	21.7	14.2	0.5	-144.1	17.3	162.3	-317.7	686.7	7370.6	3595.3	-87.4	
53.15	99.3	21.6	20.3	0.4	-144.9	17.3	151.5	-317.5	697.4	7459.1	3554.6	-69.5	
53.20	101.9	21.4	19.8	0.4	-148.4	17.3	155.0	-308.2	707.2	7686.6	3735.0	-76.7	
53.25	104.6	21.2	19.9	0.4	-152.6	17.3	169.3	-312.8	723.0	7844.4	4022.2	-82.1	
53.30	107.2	21.0	16.5	0.3	-157.9	17.4	186.4	-329.4	744.4	8045.0	4330.4	-88.3	
53.35	109.8	20.5	10.7	0.1	-161.4	17.4	191.7	-327.9	758.2	8209.3	4548.0	-102.0	
53.40	112.5	20.0	-81.3	-0.0	158.7	17.4	179.2	-314.5	759.4	7998.4	4615.3	-99.5	
53.45	115.1	19.5	-70.8	-0.1	151.4	17.4	159.3	-290.1	764.1	7538.5	4478.2	-80.4	
53.50	117.8	19.1	-63.1	-0.2	148.8	17.4	151.6	-291.3	780.1	7324.7	4439.3	-64.7	
53.55	120.4	19.0	-66.4	-0.2	153.8	17.4	161.2	-307.7	795.1	7521.3	4713.0	-74.2	
53.60	123.1	19.1	-75.5	-0.2	160.2	17.3	177.4	-302.9	800.0	7762.0	5204.9	-94.0	
53.65	125.7	19.3	-77.0	-0.2	164.9	17.3	189.7	-297.6	800.5	7813.2	5740.8	-94.0	
53.70	128.3	18.8	-71.8	-0.2	169.6	17.3	202.0	-295.7	810.1	7860.7	6234.2	-81.1	
53.75	130.9	18.7	-69.8	-0.1	175.4	17.3	215.2	-298.4	825.2	8021.5	6660.4	-76.1	
53.80	133.6	18.8	-70.7	-0.1	178.1	17.3	220.0	-289.6	829.3	8027.8	6991.7	-71.9	
53.85	136.2	18.6	-70.1	-0.1	177.1	17.3	220.9	-266.9	829.4	7699.7	7313.0	-57.0	
53.90	138.8	19.1	-67.4	-0.2	177.3	17.3	229.3	-246.8	843.4	7306.8	7749.7	-39.3	
53.95	141.5	19.8	-68.7	-0.3	182.0	17.3	245.1	-245.5	861.3	7134.6	8321.3	-38.9	
54.00	144.1	19.7	-75.4	-0.5	187.8	17.3	258.2	-255.4	864.9	7067.6	8887.9	-56.0	
54.05	146.7	19.4	-78.0	-0.6	189.7	17.2	261.3	-246.3	865.2	6917.1	9194.6	-66.1	
54.10	149.4	19.2	-72.1	-0.6	187.2	17.2	256.1	-228.8	877.2	6639.9	9207.8	-55.5	
54.15	152.0	19.1	-66.5	-0.6	185.9	17.2	251.5	-222.7	891.2	6437.0	9252.6	-43.2	
54.20	154.6	19.0	-65.2	-0.5	188.5	17.2	251.8	-221.2	894.5	6357.2	9541.9	-42.4	
54.25	157.3	18.9	-62.4	-0.4	191.4	17.1	258.5	-212.3	891.7	6081.5	9980.7	-39.8	
54.30	159.9	18.6	-62.6	-0.3	193.4	17.1	270.0	-196.2	903.0	5738.1	10349.6	-30.9	
54.35	162.5	18.2	-65.1	-0.3	196.5	17.1	283.2	-176.0	920.8	5575.9	10688.0	-23.6	
54.40	165.2	18.0	-64.7	-0.4	200.8	17.1	290.4	-167.9	924.6	5529.5	11066.1	-14.6	
54.45	167.8	18.1	-62.8	-0.4	205.2	17.1	296.9	-153.9	921.9	5483.2	11469.3	-12.3	
54.50	170.4	17.7	-60.2	-0.3	207.7	17.0	306.6	-127.2	929.0	5282.6	11770.7	-11.4	
54.55	173.1	17.5	-55.7	-0.2	208.4	17.0	313.2	-125.3	938.9	4927.0	11956.1	0.2	
54.60	175.8	17.3	-61.2	-0.1	209.4	17.0	316.0	-125.7	942.4	4862.7	12049.9	-5.9	
54.65	178.5	17.4	-62.7	-0.2	207.0	17.0	309.3	-118.7	941.1	4784.8	11913.1	-3.5	
54.70	181.2	17.3	-57.8	-0.2	199.1	17.0	290.6	-109.2	942.5	4333.5	11512.1	5.2	
54.75	183.9	17.0	-47.6	-0.1	191.9	17.0	277.3	-89.4	953.5	3951.4	11121.4	22.4	
54.80	186.6	16.1	67.2	0.1	-188.4	17.0	269.9	-86.5	958.1	3703.3	10951.9	18.0	
54.85	189.3	16.1	65.7	0.3	-189.8	17.0	271.5	-86.7	950.5	3439.5	11147.3	8.9	
54.90	192.0	16.4	62.0	0.4	-193.8	17.0	281.8	-70.4	947.1	3266.6	11499.6	3.5	
54.95	194.7	16.8	64.2	0.5	-198.0	17.0	295.3	-62.4	949.9	3160.0	11822.6	8.9	
55.00	197.3	16.3	65.0	0.6	-200.9	17.1	303.5	-57.4	949.5	3232.9	12009.3	7.1	
55.05	200.0	15.8	64.4	0.7	-202.2	17.1	305.6	-40.6	945.1	3208.0	12127.5	3.9	
55.10	202.7	15.4	64.2	0.8	-199.6	17.1	296.7	-21.5	938.9	2798.4	12060.8	9.6	
55.15	205.4	15.4	61.9	0.8	-196.5	17.2	289.0	2.9	936.4	2400.3	11938.2	20.2	
55.20	208.1	15.6	60.0	0.7	-194.2	17.2	284.5	20.3	931.6	2120.9	11827.4	24.8	
55.25	210.8	15.7	65.1	0.6	-192.1	17.3	279.5	37.1	922.7	1677.7	11753.6	37.1	
55.30	213.5	15.1	69.6	0.7	-190.3	17.3	274.8	62.9	915.1	1096.9	11693.5	42.1	
55.35	216.2	14.8	74.7	0.8	-188.1	17.3	269.2	75.0	906.9	582.8	11576.7	50.7	
55.40	218.9	14.7	68.7	0.9	-185.2	17.4	262.3	67.8	896.9	409.8	11397.2	39.4	
55.45	221.6	15.0	60.1	0.8	-183.5	17.4	262.3	66.7	887.7	418.7	11277.7	33.8	
55.50	224.3	15.4	57.2	0.7	-182.4	17.5	264.6	73.8	881.5	231.1	11186.1	33.7	
55.55	227.0	15.6	60.2	0.6	-181.6	17.5	263.2	86.3	873.0	-37.4	11132.4	35.6	
55.60	229.7	15.5	63.4	0.6	-181.9	17.5	260.0	95.0	856.3	-221.0	11164.4	33.8	
55.65	232.4	15.6	65.8	0.7	-181.7	17.5	259.8	102.9	841.8	-388.7	11150.5	35.6	
55.70	235.1	15.6	68.1	0.7	-180.9	17.6	261.3	128.2	835.4	-597.8	11048.0	48.7	
55.75	237.7	15.5	70.7	0.7	-180.0	17.6	258.2	151.1	826.5	-858.5	10946.3	64.3	
55.80	240.4	15.2	72.3	0.7	-179.8	17.6	251.9	152.0	809.6	-935.5	10951.4	71.4	
55.85	243.1	15.4	68.1	0.6	-180.3	17.7	248.9	150.3	795.7	-839.5	11018.7	61.7	
55.90	245.8	16.0	65.8	0.4	-181.0	17.7	252.8	159.3	791.6	-909.3	11048.3	64.2	
55.95	248.5	15.7	63.6	0.2	-183.0	17.7	263.3	165.1	788.5	-1019.1	11157.9	67.4	
56.00	251.2	15.8	-44.1	-0.0	186.8	17.7	272.5	157.6	774.3	-935.3	11449.3	60.6	
56.05	253.9	16.1	-43.7	-0.1	191.4	17.7	278.2	152.5	756.3	-988.4	11802.2	47.5	
56.10	256.6	16.0	-42.4	-0.0	196.1	17.7	284.7	156.3	741.0	-1428.0	12106.6	48.9	
56.15	259.3	15.7	-42.7	-0.0	200.4	17.7	291.4	165.4	725.8	-1726.7	12376.4	52.6	
56.20	262.0	15.3	-48.4	-0.1	203.2	17.7	295.0	164.3	706.9	-1685.9	12606.8	48.3	
56.25	264.7	15.1	-51.0	-0.3	203.6	17.7	296.6	150.7	689.4	-1537.6	12682.1	47.5	
56.30	267.3	15.5	-49.2	-0.4	202.2	17.7	297.6	155.5	681.2	-1503.2	12578.3	47.1	
56.35	270.0	16.0	-44.5	-0.4	201.9	17.7	296.1	166.2	670.0	-1676.3	12533.0	50.7	
56.40	272.6	16.2	-42.4	-0.4	203.8	17.7	292.7	166.1	646.9	-1869.8	12675.6	57.9	
56.45	275.3	16.1	-45.5	-0.4	204.4	17.6	290.9	166.8	623.3	-1812.4	12752.6	54.4	
56.50	277.9	15.9	-43.5	-0.5	201.5	17.6	291.4	171.5	607.8	-1778.5	12537.8	55.2	
56.55	280.5	15.6	-37.1	-0.4	196.2	17.6	292.4	179.5	599.0	-1861.8	12110.5	62.3	
56.60	283.2	15.8	-35.3	-0.3	192.6	17.6	291.1	177.4	587.1	-1821.1	11855.1	62.1	
56.65	285.9	15.9	-38.5	-0.3	190.7	17.6	283.0	159.5	568.3	-1712.7	11793.0	59.3	
56.70	288.5	15.6	-47.3	-0.5	190.2	17.5	280.5	148.5	553.8	-1635.7	11795.1	48.6	
56.75	291.2	15.7	-53.3	-0.7	189.0	17.5	282.6	156.3	547.4	-1643.5	11694.3	37.0	
56.80	293.9	15.6	-51.0	-0.9	187.0	17.5	278.2	153.3	535.5	-1731.2	11550.6	31.3	
56.85	296.6	15.4	-46.9	-0.9	185.6	17.4	273.8	139.5	515.1	-1664.8	11501.6	22.8	
56.90	299.3	15.3	-45.3	-0.7	183.3	17.4	273.2	128.5	499.7	-1515.0	11373.6	8.1	
56.95	302.0	15.5	-45.3	-0.5	179.0	17.3	273.9	124.8	493.2	-1582.4	11044.0	-0.0	
57.00	304.6	15.9	-47.9	-0.4	173.2	17.3	269.9	130.4	487.5	-1760.1	10580.4	-4.2	
57.05	307.3	16.6	-47.1	-0.4	167.4	17.3	258.9	134.1	476.9	-1864.5	10147.4	-4.9	
57.10	310.0	16.8	-44.8	-0.3	162.0	17.3	246.5	131.7	465.8	-1950.8	9757.1	-3.6	
57.15	312.7	16.8	-46.1	-0.2	157.2	17.3	243.1	131.2	462.4	-1991.2	9389.9	-9.6	
57.20	315.4	16.4	-45.7	-0.1	151.6	17.3	239.6	134.9	460.1	-2018.1	8957.3	-17.3	
57.25	318.1	16.1	41.0	0.0	-143.6	17.3	222.5	128.1	450.9	-2064.5	8386.7	-20.2	
57.30	320.8	15.9	38.3	0.1	-133.8	17.3	196.5	118.7	438.4	-2161.5	7685.1	-17.0	
57.35	323.5	15.7	34.8	0.2	-125.3	17.3	176.9	122.5	430.8	-2263.6	7034.2	-16.8	
57.40	326.3	15.9	30.3	0.3	-119.8	17.3	167.0	124.5	429.6	-2365.8	6582.3	-20.6	
57.45	329.0	16.2	21.4	0.2	-119.7	17.3	172.6	117.9	424.6	-2482.3	6535.0	-42.5	
57.50	331.7	16.3	14.4	0.2	-122.0	17.3	185.7	108.9	417.9	-2545.1	6681.3	-69.8	
57.55	334.4	16.4	7.3	0.2	-120.7	17.3	194.5	90.0	416.8	-2334.9	6658.3	-98.9	
57.60	337.1	16.6	-0.7	0.3	-113.0	17.3	189.8	68.1	416.3	-1996.8	6193.7	-120.4	
57.65	339.8	16.8	-0.6	0.4	-102.4	17.4	170.2	69.1	411.5	-1808.5	5468.9	-116.8	
57.70	342.5	16.9	4.3	0.6	-91.1	17.4	143.4	61.7	404.3	-1560.4	4739.9	-102.1	
57.75	345.2	16.9	1.3	0.8	-82.7	17.4	133.4	36.5	398.9	-1087.4	4280.1	-106.6	
57.80	347.9	16.5	-9.0	0.9	-78.0	17.5	136.6	15.5	399.3	-548.0	4018.7	-123.5	
57.85	350.6	16.3	-13.5	0.9	-70.8	17.5	126.1	2.2	399.9	-206.1	3541.6	-112.7	
57.90	353.4	16.4	-12.4	0.7	-61.5	17.5	105.7	6.9	395.5	-45.7	2905.4	-85.8	
57.95	356.1	16.7	-6.2	0.6	-52.6	17.6	86.8	10.8	394.4	238.7	2270.9	-59.8	
58.00	358.8	16.4	0.4	0.7	-49.0	17.6	81.2	-6.2	399.2	651.8	1919.0	-50.3	
58.05	1.5	16.2	-3.0	0.7	-50.1	17.6	83.4	-23.1	407.7	1083.7	1788.6	-70.1	
58.10	4.2	16.2	-5.3	0.7	-52.0	17.7	84.3	-35.9	406.7	1343.5	1769.6	-72.5	
58.15	6.9	16.3	-8.1	0.6	-53.4	17.7	80.6	-51.7	395.7	1547.1	1729.5	-68.4	
58.20	9.7	16.5	-13.2	0.5	-57.6	17.7	72.5	-69.0	393.9	2169.0	1487.6	-78.4	
58.25	12.4	17.0	-16.0	0.3	-62.9	17.8	66.9	-97.8	398.7	2736.1	1152.1	-97.9	
58.30	15.1	16.7	-13.3	0.2	-63.5	17.8	51.9	-115.8	403.4	2919.1	623.7	-99.6	
58.35	17.8	16.6	-11.5	0.2	-63.6	17.8	41.9	-113.3	399.2	3001.3	293.2	-105.9	
58.40	20.5	16.7	-11.2	0.3	-65.6	17.8	34.7	-120.1	396.2	3158.7	112.3	-108.5	
58.45	23.2	16.5	-11.5	0.3	-65.9	17.8	35.7	-119.8	397.0	3178.4	122.3	-103.6	
58.50	25.9	16.2	-9.7	0.2	-65.7	17.8	38.7	-110.8	403.5	3182.0	116.4	-95.6	
58.55	28.5	15.9	-3.0	0.2	-65.2	17.8	33.8	-118.2	407.5	3123.2	1.6	-75.1	
58.60	31.2	16.2	-6.1	0.1	-68.4	17.8	28.7	-127.9	410.2	3339.8	-105.5	-77.4	
58.65	33.9	16.8	-57.0	-0.1	73.8	17.8	23.9	-138.0	418.8	3713.0	-215.1	-93.9	
58.70	36.5	17.5	-62.0	-0.3	76.3	17.8	17.5	-155.1	428.8	3838.7	-297.2	-105.2	
58.75	39.2	17.5	-58.7	-0.5	76.7	17.8	22.5	-158.4	439.1	3863.1	-57.3	-101.5	
58.80	41.9	17.6	-58.0	-0.6	76.9	17.8	32.0	-165.2	448.3	3820.3	440.4	-115.1	
58.85	44.6	17.6	-60.5	-0.6	77.4	17.8	47.7	-173.2	458.0	3663.0	1156.3	-131.3	
58.90	47.2	17.4	-64.7	-0.6	80.0	17.7	69.1	-169.0	470.7	3540.7	1910.8	-138.7	
58.95	49.9	17.4	-66.2	-0.6	84.1	17.7	89.2	-174.2	487.4	3436.3	2555.7	-140.4	
59.00	52.6	17.5	-70.3	-0.6	89.5	17.7	99.7	-194.7	504.1	3510.6	2991.4	-150.1	
59.05	55.3	17.6	-76.9	-0.6	95.9	17.6	103.4	-206.0	516.5	3811.1	3312.9	-164.4	
59.10	58.0	17.9	-82.3	-0.7	104.5	17.6	111.6	-219.6	523.7	4279.9	3685.6	-177.0	
59.15	60.7	18.3	-85.6	-0.6	113.6	17.6	119.7	-241.4	534.0	4921.6	3869.9	-183.4	
59.20	63.4	18.6	-83.5	-0.5	120.4	17.5	123.3	-258.3	549.6	5558.0	3774.6	-179.6	
59.25	66.1	18.5	-75.8	-0.3	123.2	17.5	115.4	-274.7	562.0	5968.1	3434.8	-162.7	
59.30	68.8	18.2	-69.9	-0.2	122.7	17.5	97.1	-273.0	566.2	6177.8	3004.0	-136.2	
59.35	71.4	17.8	-67.0	-0.2	121.9	17.5	79.2	-259.0	571.7	6367.5	2545.7	-109.6	
59.40	74.1	18.2	-63.1	-0.2	121.4	17.5	68.3	-246.7	584.6	6534.3	2060.6	-88.5	
59.45	76.8	18.3	-60.7	-0.3	123.4	17.5	67.4	-251.1	601.8	6780.2	1661.8	-78.3	
59.50	79.5	18.1	-62.5	-0.3	130.5	17.5	69.2	-273.4	619.7	7307.1	1399.5	-79.4	
59.55	82.2	18.2	-67.2	-0.4	137.4	17.5	63.1	-294.6	627.8	7793.4	1300.3	-86.0	
59.60	84.9	18.3	-70.6	-0.5	140.8	17.4	56.8	-297.3	631.4	8043.4	1340.1	-89.2	
59.65	87.6	18.4	-69.6	-0.5	143.4	17.4	57.0	-300.7	645.3	8227.2	1300.7	-92.9	
59.70	90.3	17.9	-66.8	-0.4	145.5	17.4	60.1	-316.0	664.8	8339.1	1178.7	-99.3	
59.75	93.1	17.6	-63.7	-0.2	145.2	17.4	58.4	-338.6	679.5	8261.7	1057.6	-98.9	
59.80	95.8	17.3	-63.5	-0.0	139.6	17.4	58.2	-324.1	684.2	7843.5	1250.5	-96.1	
59.85	98.5	17.2	16.3	0.1	-132.6	17.4	63.2	-297.8	694.6	7310.2	1562.3	-87.8	
59.90	101.2	16.9	17.1	0.2	-129.5	17.4	75.1	-291.3	714.4	6994.1	1843.5	-86.4	
59.95	103.9	16.7	19.0	0.4	-130.5	17.4	93.1	-295.7	739.5	6941.4	2150.4	-94.0	
60.00	106.6	16.9	20.3	0.7	-130.3	17.4	99.6	-298.2	754.3	6803.3	2423.4	-94.8	
60.05	109.3	16.7	15.0	0.8	-129.0	17.5	97.9	-295.2	762.6	6621.8	2637.4	-93.2	
60.10	112.0	16.8	7.2	0.7	-128.5	17.5	95.2	-274.8	771.9	6598.9	2737.2	-93.9	
60.15	114.7	17.3	7.2	0.6	-128.2	17.5	99.7	-268.6	784.1	6521.5	2869.1	-87.0	
60.20	117.4	18.0	9.6	0.5	-129.6	17.6	121.7	-267.5	797.1	6412.8	3280.8	-87.0	
60.25	120.1	18.2	7.0	0.5	-134.4	17.6	158.8	-260.3	816.1	6389.1	3962.8	-106.0	
60.30	122.8	17.9	3.5	0.4	-138.3	17.6	188.4	-264.3	830.6	6201.7	4639.0	-118.5	
60.35	125.5	18.1	1.3	0.3	-139.7	17.6	200.0	-263.5	840.0	5979.1	5049.5	-117.0	
60.40	128.3	18.1	4.5	0.2	-140.6	17.6	201.0	-258.8	854.6	5979.9	5150.4	-110.9	
60.45	131.0	17.9	11.1	0.2	-140.4	17.7	193.5	-255.2	868.8	6066.0	5032.0	-105.7	
60.50	133.7	18.3	13.5	0.3	-141.2	17.7	181.6	-261.3	877.0	6224.8	4942.7	-104.2	
60.55	136.4	18.4	15.3	0.3	-143.0	17.7	168.3	-263.8	878.2	6359.7	5004.3	-95.6	
60.60	139.1	18.3	18.1	0.3	-143.9	17.7	158.7	-267.1	878.6	6358.0	5136.5	-77.7	
60.65	141.8	18.1	16.2	0.1	-146.4	17.7	159.2	-270.2	888.4	6517.4	5205.9	-71.3	
60.70	144.5	18.1	-70.7	-0.0	148.7	17.7	169.2	-255.6	906.1	6713.9	5250.7	-70.8	
60.75	147.2	18.3	-62.0	-0.1	148.3	17.7	178.3	-239.0	920.6	6608.1	5360.6	-55.4	
60.80	149.8	19.0	-53.6	-0.1	150.0	17.7	188.6	-231.2	929.7	6494.3	5683.1	-38.0	
60.85	152.5	19.1	39.2	0.0	-156.3	17.7	205.2	-223.8	938.7	6608.4	6235.1	-35.9	
60.90	155.2	18.9	39.8	0.1	-163.7	17.7	223.8	-219.5	944.9	6703.6	6889.2	-36.3	
60.95	157.9	18.6	36.0	0.0	-171.0	17.7	237.5	-213.0	949.4	6859.1	7471.1	-40.7	
61.00	160.6	18.6	-70.3	-0.1	178.6	17.7	244.5	-217.0	952.2	7144.5	7955.4	-47.8	
61.05	163.3	18.5	-73.9	-0.2	184.7	17.7	246.3	-233.2	951.7	7347.3	8351.6	-54.9	
61.10	165.9	18.4	-77.5	-0.3	188.3	17.7	252.3	-223.8	950.0	7248.0	8800.9	-59.9	
61.15	168.6	19.0	-75.1	-0.5	189.3	17.7	264.2	-194.1	946.6	6720.6	9342.8	-50.2	
61.20	171.3	19.6	-70.9	-0.5	189.6	17.6	278.3	-166.7	943.6	5973.9	9878.3	-43.7	
61.25	173.9	20.0	-68.6	-0.5	190.4	17.6	293.9	-140.2	944.1	5193.4	10369.7	-46.1	
61.30	176.6	20.3	-64.4	-0.5	188.4	17.6	297.7	-117.0	944.8	4351.2	10602.7	-41.2	
61.35	179.3	20.2	-58.6	-0.4	183.7	17.6	288.2	-85.7	942.1	3562.6	10584.6	-21.1	
61.40	182.0	20.0	-54.0	-0.5	179.2	17.5	273.7	-60.5	940.4	3042.9	10453.0	-1.6	
61.45	184.7	20.0	-51.2	-0.5	177.7	17.5	266.8	-53.2	940.5	2788.3	10429.7	1.1	
61.50	187.3	20.1	-51.7	-0.4	179.1	17.5	269.7	-49.8	943.4	2592.5	10579.5	-9.6	
61.55	190.0	20.2	-52.4	-0.3	181.1	17.5	274.7	-44.5	939.7	2148.7	10824.8	-11.4	
61.60	192.7	20.1	-55.6	-0.3	183.2	17.5	279.9	-26.0	931.5	1543.8	11084.5	-8.1	
61.65	195.4	19.7	-59.6	-0.4	185.1	17.4	286.3	-2.5	928.1	1099.4	11268.7	-9.4	
61.70	198.1	19.6	-58.4	-0.4	185.2	17.4	290.1	15.4	933.0	719.3	11290.3	-7.1	
61.75	200.8	20.0	-51.1	-0.4	184.8	17.4	290.0	38.2	937.0	272.1	11273.7	8.1	
61.80	203.5	20.7	-44.3	-0.3	184.4	17.4	284.9	51.2	932.1	-59.1	11263.5	24.0	
